chart_week,current_week,title,performer
1963-07-13,3,"Tie Me Kangaroo Down, Sport",Rolf Harris
1963-07-13,4,So Much In Love,The Tymes
1963-07-13,5,One Fine Day,The Chiffons
1963-07-20,1,Surf City,Jan & Dean
1963-07-20,2,Easier Said Than Done,The Essex
1963-07-20,3,So Much In Love,The Tymes
1963-07-20,4,"Tie Me Kangaroo Down, Sport",Rolf Harris
1963-07-20,5,Memphis,Lonnie Mack
1963-07-27,1,Surf City,Jan & Dean
1963-07-27,2,So Much In Love,The Tymes
1963-07-27,3,Fingertips - Pt 2,Little Stevie Wonder
1963-07-27,4,Easier Said Than Done,The Essex
1963-07-27,5,Wipe Out,The Surfaris
1963-08-03,1,So Much In Love,The Tymes
1963-08-03,2,Fingertips - Pt 2,Little Stevie Wonder
1963-08-03,3,Surf City,Jan & Dean
1963-08-03,4,(You're the) Devil In Disguise,Elvis Presley With The Jordanaires
1963-08-03,5,Wipe Out,The Surfaris
1963-08-10,1,Fingertips - Pt 2,Little Stevie Wonder
1963-08-10,2,Wipe Out,The Surfaris
1963-08-10,3,(You're the) Devil In Disguise,Elvis Presley With The Jordanaires
1963-08-10,4,Blowin' In The Wind,"Peter, Paul & Mary"
1963-08-10,5,So Much In Love,The Tymes
1963-08-17,1,Fingertips - Pt 2,Little Stevie Wonder
1963-08-17,2,Blowin' In The Wind,"Peter, Paul & Mary"
1963-08-17,3,(You're the) Devil In Disguise,Elvis Presley With The Jordanaires
1963-08-17,4,Wipe Out,The Surfaris
1963-08-17,5,Judy's Turn To Cry,Lesley Gore
1963-08-24,1,Fingertips - Pt 2,Little Stevie Wonder
1963-08-24,2,"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",Allan Sherman
1963-08-24,3,Candy Girl,The 4 Seasons
1963-08-24,4,My Boyfriend's Back,The Angels
1963-08-24,5,Judy's Turn To Cry,Lesley Gore
1963-08-31,1,My Boyfriend's Back,The Angels
1963-08-31,2,"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",Allan Sherman
1963-08-31,3,Fingertips - Pt 2,Little Stevie Wonder
1963-08-31,4,Candy Girl,The 4 Seasons
1963-08-31,5,Blowin' In The Wind,"Peter, Paul & Mary"
1963-09-07,1,My Boyfriend's Back,The Angels
1963-09-07,2,"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",Allan Sherman
1963-09-07,3,If I Had A Hammer,Trini Lopez
1963-09-07,4,Blue Velvet,Bobby Vinton
1963-09-07,5,Candy Girl,The 4 Seasons
1963-09-14,1,My Boyfriend's Back,The Angels
1963-09-14,2,Blue Velvet,Bobby Vinton
1963-09-14,3,If I Had A Hammer,Trini Lopez
1963-09-14,4,"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",Allan Sherman
1963-09-14,5,Heat Wave,Martha & The Vandellas
1963-09-21,1,Blue Velvet,Bobby Vinton
1963-09-21,2,My Boyfriend's Back,The Angels
1963-09-21,3,If I Had A Hammer,Trini Lopez
1963-09-21,4,Heat Wave,Martha & The Vandellas
1963-09-21,5,"Sally, Go 'round The Roses",The Jaynetts
1963-09-28,1,Blue Velvet,Bobby Vinton
1963-09-28,2,"Sally, Go 'round The Roses",The Jaynetts
1963-09-28,3,Be My Baby,The Ronettes
1963-09-28,4,Heat Wave,Martha & The Vandellas
1963-09-28,5,My Boyfriend's Back,The Angels
1963-10-05,1,Blue Velvet,Bobby Vinton
1963-10-05,2,"Sally, Go 'round The Roses",The Jaynetts
1963-10-05,3,Be My Baby,The Ronettes
1963-10-05,4,Sugar Shack,Jimmy Gilmer And The Fireballs
1963-10-05,5,Cry Baby,Garnet Mimms & The Enchanters
1963-10-12,1,Sugar Shack,Jimmy Gilmer And The Fireballs
1963-10-12,2,Be My Baby,The Ronettes
1963-10-12,3,Blue Velvet,Bobby Vinton
1963-10-12,4,Cry Baby,Garnet Mimms & The Enchanters
1963-10-12,5,"Sally, Go 'round The Roses",The Jaynetts
1963-10-19,1,Sugar Shack,Jimmy Gilmer And The Fireballs
1963-10-19,2,Be My Baby,The Ronettes
1963-10-19,3,Blue Velvet,Bobby Vinton
1963-10-19,4,Busted,Ray Charles and his Orchestra
1963-10-19,5,Cry Baby,Garnet Mimms & The Enchanters
1963-10-26,1,Sugar Shack,Jimmy Gilmer And The Fireballs
1963-10-26,2,Be My Baby,The Ronettes
1963-10-26,3,Deep Purple,Nino Tempo & April Stevens
1963-10-26,4,Busted,Ray Charles and his Orchestra
1963-10-26,5,Blue Velvet,Bobby Vinton
1963-11-02,1,Sugar Shack,Jimmy Gilmer And The Fireballs
1963-11-02,2,Deep Purple,Nino Tempo & April Stevens
1963-11-02,3,Washington Square,The Village Stompers
1963-11-02,4,Busted,Ray Charles and his Orchestra
1963-11-02,5,Mean Woman Blues,Roy Orbison
1963-11-09,1,Sugar Shack,Jimmy Gilmer And The Fireballs
1963-11-09,2,Deep Purple,Nino Tempo & April Stevens
1963-11-09,3,Washington Square,The Village Stompers
1963-11-09,4,It's All Right,The Impressions
1963-11-09,5,Mean Woman Blues,Roy Orbison
1963-11-16,1,Deep Purple,Nino Tempo & April Stevens
1963-11-16,2,Sugar Shack,Jimmy Gilmer And The Fireballs
1963-11-16,3,Washington Square,The Village Stompers
1963-11-16,4,I'm Leaving It Up To You,Dale & Grace
1963-11-16,5,It's All Right,The Impressions
1963-11-23,1,I'm Leaving It Up To You,Dale & Grace
1963-11-23,2,Washington Square,The Village Stompers
1963-11-23,3,Deep Purple,Nino Tempo & April Stevens
1963-11-23,4,Sugar Shack,Jimmy Gilmer And The Fireballs
1963-11-23,5,It's All Right,The Impressions
1963-11-30,1,I'm Leaving It Up To You,Dale & Grace
1963-11-30,2,Dominique,The Singing Nun (Soeur Sourire)
1963-11-30,3,Washington Square,The Village Stompers
1963-11-30,4,Sugar Shack,Jimmy Gilmer And The Fireballs
1963-11-30,5,It's All Right,The Impressions
1963-12-07,1,Dominique,The Singing Nun (Soeur Sourire)
1963-12-07,2,I'm Leaving It Up To You,Dale & Grace
1963-12-07,3,Everybody,Tommy Roe
1963-12-07,4,Louie Louie,The Kingsmen
1963-12-07,5,She's A Fool,Lesley Gore
1963-12-14,1,Dominique,The Singing Nun (Soeur Sourire)
1963-12-14,2,Louie Louie,The Kingsmen
1963-12-14,3,Everybody,Tommy Roe
1963-12-14,4,I'm Leaving It Up To You,Dale & Grace
1963-12-14,5,You Don't Have To Be A Baby To Cry,The Caravelles
1963-12-21,1,Dominique,The Singing Nun (Soeur Sourire)
1963-12-21,2,Louie Louie,The Kingsmen
1963-12-21,3,You Don't Have To Be A Baby To Cry,The Caravelles
1963-12-21,4,There! I've Said It Again,Bobby Vinton
1963-12-21,5,Since I Fell For You,Lenny Welch
1963-12-28,1,Dominique,The Singing Nun (Soeur Sourire)
1963-12-28,2,There! I've Said It Again,Bobby Vinton
1963-12-28,3,Louie Louie,The Kingsmen
1963-12-28,4,Since I Fell For You,Lenny Welch
1963-12-28,5,You Don't Have To Be A Baby To Cry,The Caravelles
1964-01-04,1,There! I've Said It Again,Bobby Vinton
1964-01-04,2,Louie Louie,The Kingsmen
1964-01-04,3,Dominique,The Singing Nun (Soeur Sourire)
1964-01-04,4,Since I Fell For You,Lenny Welch
1964-01-04,5,Forget Him,Bobby Rydell
1964-01-11,1,There! I've Said It Again,Bobby Vinton
1964-01-11,2,Louie Louie,The Kingsmen
1964-01-11,3,Popsicles And Icicles,The Murmaids
1964-01-11,4,Dominique,The Singing Nun (Soeur Sourire)
1964-01-11,5,Forget Him,Bobby Rydell
1964-01-18,1,There! I've Said It Again,Bobby Vinton
1964-01-18,2,Louie Louie,The Kingsmen
1964-01-18,3,Popsicles And Icicles,The Murmaids
1964-01-18,4,Forget Him,Bobby Rydell
1964-01-18,5,Surfin' Bird,The Trashmen
1964-01-25,1,There! I've Said It Again,Bobby Vinton
1964-01-25,2,Louie Louie,The Kingsmen
1964-01-25,3,I Want To Hold Your Hand,The Beatles
1964-01-25,4,Surfin' Bird,The Trashmen
1964-01-25,5,Popsicles And Icicles,The Murmaids
1964-02-01,1,I Want To Hold Your Hand,The Beatles
1964-02-01,2,You Don't Own Me,Lesley Gore
1964-02-01,3,Out Of Limits,The Marketts
1964-02-01,4,Surfin' Bird,The Trashmen
1964-02-01,5,Hey Little Cobra,The Rip Chords
1964-02-08,1,I Want To Hold Your Hand,The Beatles
1964-02-08,2,You Don't Own Me,Lesley Gore
1964-02-08,3,Out Of Limits,The Marketts
1964-02-08,4,Hey Little Cobra,The Rip Chords
1964-02-08,5,"Um, Um, Um, Um, Um, Um",Major Lance
1964-02-15,1,I Want To Hold Your Hand,The Beatles
1964-02-15,2,You Don't Own Me,Lesley Gore
1964-02-15,3,She Loves You,The Beatles
1964-02-15,4,Hey Little Cobra,The Rip Chords
1964-02-15,5,"Um, Um, Um, Um, Um, Um",Major Lance
1964-02-22,1,I Want To Hold Your Hand,The Beatles
1964-02-22,2,She Loves You,The Beatles
1964-02-22,3,Dawn (Go Away),The 4 Seasons
1964-02-22,4,You Don't Own Me,Lesley Gore
1964-02-22,5,Java,Al (He's the King) Hirt
1964-02-29,1,I Want To Hold Your Hand,The Beatles
1964-02-29,2,She Loves You,The Beatles
1964-02-29,3,Dawn (Go Away),The 4 Seasons
1964-02-29,4,Java,Al (He's the King) Hirt
1964-02-29,5,California Sun,The Rivieras
1964-03-07,1,I Want To Hold Your Hand,The Beatles
1964-03-07,2,She Loves You,The Beatles
1964-03-07,3,Dawn (Go Away),The 4 Seasons
1964-03-07,4,Please Please Me,The Beatles
1964-03-07,5,Java,Al (He's the King) Hirt
1964-03-14,1,I Want To Hold Your Hand,The Beatles
1964-03-14,2,She Loves You,The Beatles
1964-03-14,3,Please Please Me,The Beatles
1964-03-14,4,Dawn (Go Away),The 4 Seasons
1964-03-14,5,Java,Al (He's the King) Hirt
1964-03-21,1,She Loves You,The Beatles
1964-03-21,2,I Want To Hold Your Hand,The Beatles
1964-03-21,3,Please Please Me,The Beatles
1964-03-21,4,Dawn (Go Away),The 4 Seasons
1964-03-21,5,"Fun, Fun, Fun",The Beach Boys
1964-03-28,1,She Loves You,The Beatles
1964-03-28,2,I Want To Hold Your Hand,The Beatles
1964-03-28,3,Twist And Shout,The Beatles
1964-03-28,4,Please Please Me,The Beatles
1964-03-28,5,Dawn (Go Away),The 4 Seasons
1964-04-04,1,Can't Buy Me Love,The Beatles
1964-04-04,2,Twist And Shout,The Beatles
1964-04-04,3,She Loves You,The Beatles
1964-04-04,4,I Want To Hold Your Hand,The Beatles
1964-04-04,5,Please Please Me,The Beatles
1964-04-11,1,Can't Buy Me Love,The Beatles
1964-04-11,2,Twist And Shout,The Beatles
1964-04-11,3,Suspicion,Terry Stafford
1964-04-11,4,She Loves You,The Beatles
1964-04-11,5,"Hello, Dolly!",Louis Armstrong And The All Stars
1964-04-18,1,Can't Buy Me Love,The Beatles
1964-04-18,2,Twist And Shout,The Beatles
1964-04-18,3,Suspicion,Terry Stafford
1964-04-18,4,"Hello, Dolly!",Louis Armstrong And The All Stars
1964-04-18,5,Do You Want To Know A Secret,The Beatles
1964-04-25,1,Can't Buy Me Love,The Beatles
1964-04-25,2,Twist And Shout,The Beatles
1964-04-25,3,Do You Want To Know A Secret,The Beatles
1964-04-25,4,"Hello, Dolly!",Louis Armstrong And The All Stars
1964-04-25,5,Suspicion,Terry Stafford
1964-05-02,1,Can't Buy Me Love,The Beatles
1964-05-02,2,"Hello, Dolly!",Louis Armstrong And The All Stars
1964-05-02,3,Do You Want To Know A Secret,The Beatles
1964-05-02,4,Bits And Pieces,The Dave Clark Five
1964-05-02,5,My Guy,Mary Wells
1964-05-09,1,"Hello, Dolly!",Louis Armstrong And The All Stars
1964-05-09,2,Do You Want To Know A Secret,The Beatles
1964-05-09,3,My Guy,Mary Wells
1964-05-09,4,Bits And Pieces,The Dave Clark Five
1964-05-09,5,Can't Buy Me Love,The Beatles
1964-05-16,1,My Guy,Mary Wells
1964-05-16,2,"Hello, Dolly!",Louis Armstrong And The All Stars
1964-05-16,3,Love Me Do,The Beatles
1964-05-16,4,Bits And Pieces,The Dave Clark Five
1964-05-16,5,Do You Want To Know A Secret,The Beatles
1964-05-23,1,My Guy,Mary Wells
1964-05-23,2,Love Me Do,The Beatles
1964-05-23,3,"Hello, Dolly!",Louis Armstrong And The All Stars
1964-05-23,4,Chapel Of Love,The Dixie Cups
1964-05-23,5,Love Me With All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers
1964-05-30,1,Love Me Do,The Beatles
1964-05-30,2,Chapel Of Love,The Dixie Cups
1964-05-30,3,My Guy,Mary Wells
1964-05-30,4,Love Me With All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers
1964-05-30,5,"Hello, Dolly!",Louis Armstrong And The All Stars
1964-06-06,1,Chapel Of Love,The Dixie Cups
1964-06-06,2,Love Me Do,The Beatles
1964-06-06,3,My Guy,Mary Wells
1964-06-06,4,Love Me With All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers
1964-06-06,5,"Hello, Dolly!",Louis Armstrong And The All Stars
1964-06-13,1,Chapel Of Love,The Dixie Cups
1964-06-13,2,A World Without Love,Peter And Gordon
1964-06-13,3,Love Me With All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers
1964-06-13,4,Love Me Do,The Beatles
1964-06-13,5,My Guy,Mary Wells
1964-06-20,1,Chapel Of Love,The Dixie Cups
1964-06-20,2,A World Without Love,Peter And Gordon
1964-06-20,3,I Get Around,The Beach Boys
1964-06-20,4,Love Me With All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers
1964-06-20,5,My Boy Lollipop,Millie Small
1964-06-27,1,A World Without Love,Peter And Gordon
1964-06-27,2,I Get Around,The Beach Boys
1964-06-27,3,Chapel Of Love,The Dixie Cups
1964-06-27,4,My Boy Lollipop,Millie Small
1964-06-27,5,People,Barbra Streisand
1964-07-04,1,I Get Around,The Beach Boys
1964-07-04,2,My Boy Lollipop,Millie Small
1964-07-04,3,Memphis,Johnny Rivers
1964-07-04,4,Don't Let The Sun Catch You Crying,Gerry And The Pacemakers
1964-07-04,5,People,Barbra Streisand
1964-07-11,1,I Get Around,The Beach Boys
1964-07-11,2,Memphis,Johnny Rivers
1964-07-11,3,Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
1964-07-11,4,Don't Let The Sun Catch You Crying,Gerry And The Pacemakers
1964-07-11,5,Can't You See That She's Mine,The Dave Clark Five
1964-07-18,1,Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
1964-07-18,2,Memphis,Johnny Rivers
1964-07-18,3,I Get Around,The Beach Boys
1964-07-18,4,Can't You See That She's Mine,The Dave Clark Five
1964-07-18,5,The Girl From Ipanema,Stan Getz/Astrud Gilberto
1964-07-25,1,Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
1964-07-25,2,A Hard Day's Night,The Beatles
1964-07-25,3,I Get Around,The Beach Boys
1964-07-25,4,Memphis,Johnny Rivers
1964-07-25,5,The Girl From Ipanema,Stan Getz/Astrud Gilberto
1964-08-01,1,A Hard Day's Night,The Beatles
1964-08-01,2,Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
1964-08-01,3,The Little Old Lady (From Pasadena),Jan & Dean
1964-08-01,4,Everybody Loves Somebody,Dean Martin
1964-08-01,5,Where Did Our Love Go,The Supremes
1964-08-08,1,A Hard Day's Night,The Beatles
1964-08-08,2,Everybody Loves Somebody,Dean Martin
1964-08-08,3,Where Did Our Love Go,The Supremes
1964-08-08,4,The Little Old Lady (From Pasadena),Jan & Dean
1964-08-08,5,Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
1964-08-15,1,Everybody Loves Somebody,Dean Martin
1964-08-15,2,Where Did Our Love Go,The Supremes
1964-08-15,3,A Hard Day's Night,The Beatles
1964-08-15,4,Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
1964-08-15,5,Under The Boardwalk,The Drifters
1964-08-22,1,Where Did Our Love Go,The Supremes
1964-08-22,2,Everybody Loves Somebody,Dean Martin
1964-08-22,3,A Hard Day's Night,The Beatles
1964-08-22,4,Under The Boardwalk,The Drifters
1964-08-22,5,House Of The Rising Sun,The Animals
1964-08-29,1,Where Did Our Love Go,The Supremes
1964-08-29,2,House Of The Rising Sun,The Animals
1964-08-29,3,Everybody Loves Somebody,Dean Martin
1964-08-29,4,A Hard Day's Night,The Beatles
1964-08-29,5,C'mon And Swim,Bobby Freeman
1964-09-05,1,House Of The Rising Sun,The Animals
1964-09-05,2,Where Did Our Love Go,The Supremes
1964-09-05,3,Everybody Loves Somebody,Dean Martin
1964-09-05,4,Because,The Dave Clark Five
1964-09-05,5,C'mon And Swim,Bobby Freeman
1964-09-12,1,House Of The Rising Sun,The Animals
1964-09-12,2,Where Did Our Love Go,The Supremes
1964-09-12,3,Because,The Dave Clark Five
1964-09-12,4,Everybody Loves Somebody,Dean Martin
1964-09-12,5,Bread And Butter,The Newbeats
1964-09-19,1,House Of The Rising Sun,The Animals
1964-09-19,2,Bread And Butter,The Newbeats
1964-09-19,3,Where Did Our Love Go,The Supremes
1964-09-19,4,"Oh, Pretty Woman",Roy Orbison And The Candy Men
1964-09-19,5,G.T.O.,Ronny And The Daytonas
1964-09-26,1,"Oh, Pretty Woman",Roy Orbison And The Candy Men
1964-09-26,2,Bread And Butter,The Newbeats
1964-09-26,3,House Of The Rising Sun,The Animals
1964-09-26,4,G.T.O.,Ronny And The Daytonas
1964-09-26,5,Remember (Walkin' in the Sand),The Shangri-Las
1964-10-03,1,"Oh, Pretty Woman",Roy Orbison And The Candy Men
1964-10-03,2,Do Wah Diddy Diddy,Manfred Mann
1964-10-03,3,Bread And Butter,The Newbeats
1964-10-03,4,Dancing In The Street,Martha & The Vandellas
1964-10-03,5,Remember (Walkin' in the Sand),The Shangri-Las
1964-10-10,1,"Oh, Pretty Woman",Roy Orbison And The Candy Men
1964-10-10,2,Do Wah Diddy Diddy,Manfred Mann
1964-10-10,3,Dancing In The Street,Martha & The Vandellas
1964-10-10,4,Bread And Butter,The Newbeats
1964-10-10,5,Remember (Walkin' in the Sand),The Shangri-Las
1964-10-17,1,Do Wah Diddy Diddy,Manfred Mann
1964-10-17,2,Dancing In The Street,Martha & The Vandellas
1964-10-17,3,"Oh, Pretty Woman",Roy Orbison And The Candy Men
1964-10-17,4,We'll Sing In The Sunshine,Gale Garnett
1964-10-17,5,Last Kiss,J. Frank Wilson and The Cavaliers
1964-10-24,1,Do Wah Diddy Diddy,Manfred Mann
1964-10-24,2,Dancing In The Street,Martha & The Vandellas
1964-10-24,3,Last Kiss,J. Frank Wilson and The Cavaliers
1964-10-24,4,We'll Sing In The Sunshine,Gale Garnett
1964-10-24,5,"Oh, Pretty Woman",Roy Orbison And The Candy Men
1964-10-31,1,Baby Love,The Supremes
1964-10-31,2,Do Wah Diddy Diddy,Manfred Mann
1964-10-31,3,Last Kiss,J. Frank Wilson and The Cavaliers
1964-10-31,4,We'll Sing In The Sunshine,Gale Garnett
1964-10-31,5,Dancing In The Street,Martha & The Vandellas
1964-11-07,1,Baby Love,The Supremes
1964-11-07,2,Last Kiss,J. Frank Wilson and The Cavaliers
1964-11-07,3,Do Wah Diddy Diddy,Manfred Mann
1964-11-07,4,Leader Of The Pack,The Shangri-Las
1964-11-07,5,Let It Be Me,Betty Everett & Jerry Butler
1964-11-14,1,Baby Love,The Supremes
1964-11-14,2,Leader Of The Pack,The Shangri-Las
1964-11-14,3,Last Kiss,J. Frank Wilson and The Cavaliers
1964-11-14,4,Come A Little Bit Closer,Jay & The Americans
1964-11-14,5,Have I The Right?,The Honeycombs
1964-11-21,1,Baby Love,The Supremes
1964-11-21,2,Leader Of The Pack,The Shangri-Las
1964-11-21,3,Come A Little Bit Closer,Jay & The Americans
1964-11-21,4,Last Kiss,J. Frank Wilson and The Cavaliers
1964-11-21,5,She's Not There,The Zombies
1964-11-28,1,Leader Of The Pack,The Shangri-Las
1964-11-28,2,Baby Love,The Supremes
1964-11-28,3,Come A Little Bit Closer,Jay & The Americans
1964-11-28,4,She's Not There,The Zombies
1964-11-28,5,Ringo,Lorne Greene
1964-12-05,1,Ringo,Lorne Greene
1964-12-05,2,Mr. Lonely,Bobby Vinton
1964-12-05,3,Leader Of The Pack,The Shangri-Las
1964-12-05,4,She's Not There,The Zombies
1964-12-05,5,Baby Love,The Supremes
1964-12-12,1,Mr. Lonely,Bobby Vinton
1964-12-12,2,She's Not There,The Zombies
1964-12-12,3,Ringo,Lorne Greene
1964-12-12,4,Come See About Me,The Supremes
1964-12-12,5,I Feel Fine,The Beatles
1964-12-19,1,Come See About Me,The Supremes
1964-12-19,2,I Feel Fine,The Beatles
1964-12-19,3,Mr. Lonely,Bobby Vinton
1964-12-19,4,She's Not There,The Zombies
1964-12-19,5,Ringo,Lorne Greene
1964-12-26,1,I Feel Fine,The Beatles
1964-12-26,2,Come See About Me,The Supremes
1964-12-26,3,Mr. Lonely,Bobby Vinton
1964-12-26,4,She's A Woman,The Beatles
1964-12-26,5,She's Not There,The Zombies
1965-01-02,1,I Feel Fine,The Beatles
1965-01-02,2,Come See About Me,The Supremes
1965-01-02,3,Mr. Lonely,Bobby Vinton
1965-01-02,4,She's A Woman,The Beatles
1965-01-02,5,Love Potion Number Nine,The Searchers
1965-01-09,1,I Feel Fine,The Beatles
1965-01-09,2,Come See About Me,The Supremes
1965-01-09,3,Mr. Lonely,Bobby Vinton
1965-01-09,4,Love Potion Number Nine,The Searchers
1965-01-09,5,Downtown,Petula Clark
1965-01-16,1,Come See About Me,The Supremes
1965-01-16,2,I Feel Fine,The Beatles
1965-01-16,3,Love Potion Number Nine,The Searchers
1965-01-16,4,Downtown,Petula Clark
1965-01-16,5,You've Lost That Lovin' Feelin',The Righteous Brothers
1965-01-23,1,Downtown,Petula Clark
1965-01-23,2,You've Lost That Lovin' Feelin',The Righteous Brothers
1965-01-23,3,Love Potion Number Nine,The Searchers
1965-01-23,4,I Feel Fine,The Beatles
1965-01-23,5,Come See About Me,The Supremes
1965-01-30,1,Downtown,Petula Clark
1965-01-30,2,You've Lost That Lovin' Feelin',The Righteous Brothers
1965-01-30,3,The Name Game,Shirley Ellis
1965-01-30,4,Love Potion Number Nine,The Searchers
1965-01-30,5,Hold What You've Got,Joe Tex
1965-02-06,1,You've Lost That Lovin' Feelin',The Righteous Brothers
1965-02-06,2,Downtown,Petula Clark
1965-02-06,3,The Name Game,Shirley Ellis
1965-02-06,4,This Diamond Ring,Gary Lewis And The Playboys
1965-02-06,5,Hold What You've Got,Joe Tex
1965-02-13,1,You've Lost That Lovin' Feelin',The Righteous Brothers
1965-02-13,2,Downtown,Petula Clark
1965-02-13,3,This Diamond Ring,Gary Lewis And The Playboys
1965-02-13,4,The Name Game,Shirley Ellis
1965-02-13,5,My Girl,The Temptations
1965-02-20,1,This Diamond Ring,Gary Lewis And The Playboys
1965-02-20,2,You've Lost That Lovin' Feelin',The Righteous Brothers
1965-02-20,3,Downtown,Petula Clark
1965-02-20,4,My Girl,The Temptations
1965-02-20,5,The Name Game,Shirley Ellis
1965-02-27,1,This Diamond Ring,Gary Lewis And The Playboys
1965-02-27,2,You've Lost That Lovin' Feelin',The Righteous Brothers
1965-02-27,3,My Girl,The Temptations
1965-02-27,4,Downtown,Petula Clark
1965-02-27,5,The Jolly Green Giant,The Kingsmen
1965-03-06,1,My Girl,The Temptations
1965-03-06,2,This Diamond Ring,Gary Lewis And The Playboys
1965-03-06,3,You've Lost That Lovin' Feelin',The Righteous Brothers
1965-03-06,4,The Jolly Green Giant,The Kingsmen
1965-03-06,5,Eight Days A Week,The Beatles
1965-03-13,1,Eight Days A Week,The Beatles
1965-03-13,2,My Girl,The Temptations
1965-03-13,3,Stop! In The Name Of Love,The Supremes
1965-03-13,4,This Diamond Ring,Gary Lewis And The Playboys
1965-03-13,5,The Birds And The Bees,Jewel Akens
1965-03-20,1,Eight Days A Week,The Beatles
1965-03-20,2,Stop! In The Name Of Love,The Supremes
1965-03-20,3,The Birds And The Bees,Jewel Akens
1965-03-20,4,King Of The Road,Roger Miller
1965-03-20,5,Can't You Hear My Heartbeat,Herman's Hermits
